front,back
"What did Betthauser et al (2023) measure as the metric for the ""learning deficit” during the pandemic school disruption?","Cohen’s d is calculated as the difference in the mean learning gain in a given subject (maths or reading) over two comparable periods before and after the onset of the pandemic, divided by the pooled standard deviation of learning progress in this subject.
Result is a cohen's d of around -0.14, which corresponds to 1/3 of a year of learning."
What did Betthauser et al (2023) show about the time dependence of the learning deficit (cohen's d) after the pandemic?,"It is persisting over time, and across countries. "
What is cohen's d statistic? ,"It is the difference in mean value between two populations, divided by the normalized pooled standard deviation (basically quadratic mean). "
"In the paper ""The Increasing Dominance of Teams in Production of Knowledge"" what is the main thesis? ","Over time, research is more often done by teams and larger teams.
Teams receive more citations and are more likely to be found in the top end of citations. "
"If a paper is made by a team or a solo author, what is the ratio of the likelihood it ends up in the high citation regime (1000 to 10,000 citations)",6 times larger that it came from a team (not necessarily causal).
"In the paper ""The Increasing Dominance of Teams in Production of Knowledge"" (2007), what was the change in team paper citations compared to solo paper citations in the sciences from 1950s to now?",Ratio of team paper citations (on average) to solo paper citations (on average) went from 1.5 to 2 or so
"In the paper ""The Increasing Dominance of Teams in Production of Knowledge"" (2007), what was the change in mean team size in the sciences from 1950s to now?",Mean team size in sciences went from 2 to 4 basically from 1970 to now.
How did the pandemic affect low income school closures vs high income school closures? ,"Low income had an extra of 5-10 weeks of school closure within a state, after controlling for overall state differences."
How did the pandemic affect school outcomes on average for school age children? What is it equivalent to? ,"Equivalent to around 1/3 of a school year lost, on average. 
Test scores dropped by around 0.3 std deviations, with around 0.2 extra for 50% remote instruction."
"In the paper ""Can behavioral interventions be too salient?"" (2022), what did they conclude as general takeaways?","Be careful designing interventions that my hurt. 
Grabbing too much attention can cause distraction and crashes (and they showed it was distraction). 
Impact did not persist after treatment stopped. "
"What was measured/perturbed in the paper ""Can behavioral interventions be too salient?"" (2022)?","They displayed traffic deaths on a sign in texas, and this did not improve safety on net. In fact it increased crashes by almost 5%. 
It was too salient, and increased traffic accidents."
Are global fish stocks in collapse? Why or why not? ,"The optimal fish population for sustainable extraction of maximum resources (stable population) is sometimes 50% smaller than historical levels 
This is because catch can be larger and larger and take home grows (population isn't much effected) but eventually the population gets depleted too fast and your catch goes down"
"Which fish types are subject to overfishing, and which are not? ","Sharks and rays are bad
Tuna is generally pretty good (Depends on geographic location and which type of tuna) "
"In the paper ""Greening of the Earth and its drivers"" (2016), what methods were used?","Satellite observation of leafy coverage 
Climate models to predict causes. "
"What was the main quantitative result of the paper ""Greening of the Earth and its drivers"" (2016)?","""We show a persistent and widespread increase of growing season integrated LAI (greening) over 25% to 50% of the global vegetated area""
""...models suggest that CO2 fertilization effects explain 70% of the observed greening trend""
Average rate is 0.07 m^2 per m^2 per year, so around increase by 2 (not a factor of 2) from 1982 to 2009."
What main metric is used to see how plants respond to climate change? ,Leaf area index: surface area of leaves per unit of surface area of earth. Can use units in paper to understand from there. 
What main factors are used in the model to predict changes in leafy area coverage for predicting forest greening with climate change? ,"CO2 concentration
Nitrogen concentration (deposition)
Climate change (Temp change and Precipitation change)
Land cover change (I think this means clouds?)"
Name a few technologies first used in world war 1,"U boats from germany cause heavy losses of england navy 
Germany tries to blockade england, but ends up sinking a lot of US people, and that is a big reason the US joined the war. 
Trench warfare
Bombs
Aircraft
Tanks
Chemical warfare "
What was the outcome of world war 1?,"Ottoman. Is totally cut up to modern states. This is not what was promised to Arab countries. 
Austro-hungarian empire is cut up into modern day states. 
Germany cedes a lot of land. Has to have ""war guilt clause"" and pay a bunch of nations. Reduced military (Versailles)
League of nations is formed (versailles) "
"What are a few methods of monetary policy used by the government, and what do they do? ","Change bank reserve ratio (more or less cash on hand)
Change federal funds rate (ie change short term interest rate offered by government directly) (more or less cash on hand)
Buy and sell treasury securities (bonds) on open market (called open market operations) (more or less cash on hand) "
How can innovation and technology reduce interest rates? Why is this unintuitive? ,"If you discover a way to extract huge amounts of natural resources, then the marginal return on new resources will go down, so interest rates go down.
This is unintuitive because usually increased technology = more return on investment = higher interest rate on average. "
"What sets the interest rate of an economy, in the absence of monetary policy/government intervention? ","The productivity of capital on average sets the interest rate, given the total capital supply and technology at a certain moment in time "
What was the Bretton woods system? ,An international monetary gold standard tied to US dollar after WW2 until 1971 inflation/energy crisis
How can GPS be enhanced in accuracy? What is the bottleneck using this method? ,"Use multimodal sources of information, such as local wifi, and ground-based positioning emitters. 
Difficulty is getting timing precision sub-nanosecond for ground-based emitters. "
"In the paper ""Semantic reconstruction of continuous language from non-invasive brain recordings"" by Tang et al (2022), what was the basic setup?","Have people listen to stories in an fMRI machine, then train a decoder to predict the text or thoughts when presented with new fMRI data. "
"What did the paper ""Induction of visual orientation modules in auditory cortex"" (2000) do experimentally?","Rewire visual nerve to go to auditory cortex in ferrets, and see how it develops. "
"Paper ""Connectomes across development"" (2020), second order results about synapses: major conserved themes.","Increasing modularity with age
Synapses become more feed forward (from sensory, to integrated processing, to motor)
Central processing or interneuron structure was relatively conserved. "
"Paper ""Connectomes across development"" (2020), first order results on synapse structure","Synapse density per axon length is roughly similar during growth and across individuals.
Actual map is different though. "
"Paper ""Connectomes across development"" (2020) measured synapses in what animal using what technology?","C. Elegans, using Scanning Electron Microscopy after cross sectioning. "
What is the major thing that differentiates the Proterozoic era from the Archaen era? ,"Development of Eukaryotes (around 2 billion years ago), and then multicellular life (around 1.6 billion years ago)"
What differentiates the beginning of the Archaen era from the Hadean era? ,"Hadean had water -> Archean has single cell life, and then later photosynthesis. "
"What are the 4 major historical epochs of the earth development, and their times?","Hadean: 4.5 billion to 4 billion years ago. 
Archaen: ends 2.5 billion ago
Proterozoic: ends 539 million ago (with Cambrian explosion)
Phanerozoic: current"
Characteristics of Cnidaria (Coral and jellyfish) ,"special cells cnidocytes for capturing prey, radial symmetry usually, one orifice, decentralized nerve nets "
Characteristics of Arthropods (insects) ,"chitin, exoskeleton not vertebrate, moulting, segmentation, cambrian period, metamorphosis "
Characteristics of Porifera (Sponges) ,"unspecialized cells, no nervous or digestive or circulatory system, first to branch off. Are mobile in first cell stage. "
What are the categories to consider when examining a new robotics application? ,"Spatial configuration (size). 
Whether it moves. 
How it interacts with humans. "
What idea did I have for helping people choose between research fields? ,"Measure: Of authors with publications in multiple fields, which field are they currently in? (example: using arxiv publications)
Post selects on people who purposefully changed careers and thus people who probably thought a bit more deeply "
"Ionnidis article ""Why Most Published Research Findings Are False"" (2005) main point","The priors of truth in a field matter, and can mean most published results are false.
Corollary 1: The smaller the studies conducted in a scientific field, the less likely the research findings are to be true. 
Corollary 2: The smaller the effect sizes in a scientific field, the less likely the research findings are to be true. 
Corollary 3: The greater the number and the lesser the selection of tested relationships in a scientific field, the less likely the research findings are to be true. 
Corollary 4: The greater the flexibility in designs, definitions, outcomes, and analytical modes in a scientific field, the less likely the research findings are to be true 
Corollary 5: The greater the financial and other interests and prejudices in a scientific field, the less likely"
"In the paper ""Motivated Numeracy and Enlightened Self-Government"" (2013) by Kahan et al, what two hypotheses were being tested?","People just need to be more informed or taught better statistics.
Being informed isn't the problem. It's that identity biases trigger bad reasoning, and that doesn't get better with better numeracy
The latter was more supported. "
"In the paper ""Motivated Numeracy and Enlightened Self-Government"" (2013) by Kahan et al, what was the experimental setup?","Experiment 1: test individual ability to spot factual or reasoning errors in a study about a skin rash. 
Result 1: more numeracy = more correct.
Experiment 2: same thing, but in a study about gun control, does crime increase or decrease.
Result 2: Both political leanings were bad at catching mistakes that go against their beliefs, but good at catching opposing mistakes."
"In the paper ""Motivated Numeracy and Enlightened Self-Government"" (2013) by Kahan et al, what was the main result shown?","Individuals higher in numeracy are not better at avoiding polarization. Specifically, they make as many or more mistakes when presented with a polarizing topic. "
What were the main results of the Deepmind algorithmic distillation paper? ,"It learns from fewer examples than otherwise necessary
Seeing more initial examples (seed size for text LLMs) leads to faster learning 
Doesn't plateau like some other algorithm distillation methods "
How did deepmind use transformers to generate a learning algorithm for exploring trajectories in reinforcement learning? ,"Trained a transformer to predict the next action to take in some environment, to best explore and gain information. "
"In trying to prove resource requirements for a bandit problem, how do you lower bound the necessary loss? ","Use information theory to argue that there is a minimum number of mistakes you need to make to gather information.
Goal is to converge upper and lower bounds for loss to prove you have the optimal strategy. "
"In the Deepmind paper ""Generally capable agents emerge from open-ended play"" 2021, what was interesting about the environment used?","Have a programmatically generated environment to build testing space for agents to be able to function best in a variety of environments 
Find best ""general agent"" in each generation, and propagate to harder next generation 
My takeaway: Generative model of environment is like generating fake data for training on Mnist. If it's different enough, it lets you get way better "
Describe the process of byte pair encoding to compress information to input to a transformer ,"In a large corpus, find most common bigrams, then redefine them to be one thing, and add that to the vocab list. 
Then repeat, until a certain number of unique objects have been formed. "
Why does the no free lunch theorem not really matter for AGI? ,"It only really matters for resource constrained optimization problems, where learning one thing well makes you bad at another. 
In a world where a computer can harness other resources (like a human uses a computer), this is a very weak tradeoff. "
How does the no free lunch theorem apply to Machine learning? ,"It says there are tradeoffs in learning one function vs another. In the space of all functions, being good at one thing means you are necessarily bad at some other thing. "
What is the difference between prediction and inference? ,"Do you want a statistically accurate value, or do you want to understand the model "
"In the GPT-3 paper, when generating news articles that are indistinguishable from human-generated articles, what key features were observed?","Had humans rate their prediction: machine or not? 
Saw indistinguishability with larger models
Persisted from 200 to 500 word articles (didn't see decay with article length, which sometimes happens as models drift during generation)"
What key example discussed near the end of the GPT-3 paper was used to compare the model to humans?,"Generating news articles that are indistinguishable from human-generated articles, from the same title and subtitle. "
What was one goal of the GPT-3 paper as compared to Kaplan et. al. 2020?,One goal was validating the general scaling laws proposed by Kaplan at a higher order of magnitude. 
Name one limitation of the Codex model from the original paper (2021),"Still very sample inefficient training compared to a human programmer 
Failure increases with docstring length
Can reference variables outside the scope "
What is an example of a situation where a more nuanced success metric for code generation is needed compared to pass@k? ,"Ex. For auto-complete prompts, you cannot present all possible solutions. You must choose one to show the user. "
"In the Codex paper (2021), what method was found to be best for choosing the sampled output to present to the user?",Best way is mean token log probability throughout the generated sequence. 
How must the optimal temperature be tuned for the pass@k metric for GPT-codex? ,"You want a higher temperature for larger k in pass at k, to have more probability of generating meaningfully different samples. "
"What detail of the codex paper differs from GPT-3, that is not part of the architecture?","The tokenizer is adjusted to account for specific things relating to code, rather than natural language (adjusts for whitespace). "
"In the Codex paper (2021), the model was fine tuned to succeed at what tasks?","Fine tuned on successful solutions to get a better model.
Fine tuned on generating a doc string. "
"In the Codex paper (2021), why is the pass@k metric difficult to compute?","Just using 1 - (1-p)^k for the estimate of the pass@1 p, is systematically underestimating it. 
Instead they have a ratio of binomials in some form to accomplish it."
"In the Codex paper (2021), what metric is used instead of 0 shot and few shot learning?","Pass@k, or the pass rate for having at least one successful sample out of k samples "
"How to visualize the process of patent formation abstractly, from the point of view of general progress in society. ","Visualize a set of Venn diagrams. Each successive patent comes into existence as a subset of previous patents or claims (and a specific patent usually has many component subsets).
Visualize the frontier of ideas. Patents come into existence, hold for some time, then disappear. All past area claimed by patents cannot be re-patented. Only smaller areas can. It's like encouraging tree search in the space of ideas. "
What is the main tradeoff between patents and trade secrets? ,"Summary: Protection level, time, and cost. 
Patents have stronger protections against reverse engineering and independent invention, but last for less time and require full disclosure, and cost more.
Trade secrets are not protected from reverse engineering and independent invention, but last forever, don't require disclosure, and cost less to enforce. "
What legal framework is the concept of non-disclosure agreements aimed at safeguarding? ,Trade secrets 
Is a trade secret something you apply for? ,"Unlike other forms of intellectual property, such as patents, copyrights, and trademarks, which generally require registration in order to be fully effective, trade secrets are essentially a ""do-it-yourself"" form of protection.
You do not register with the government to secure your trade secret; you most simply keep the information under wraps. Trade secret protection lasts for as long as the secret is kept confidential without any statutory limitations period. "
What are two characteristics that must be present for a patent public disclosure? ,"Has to be sufficiently public (and a reasonable expectation of it being public)
Has to enable replication or disclose the full technology "
"What are the two protections afforded to a person trying to patent their work in the US, to help them have enough time before ""first to file""? ","Novelty grace period (yourself not considered prior art)
Disclosure shield - further prior art is not a problem for first to disclose "
Why is the disclosure shield for a patent very weak after the America Invents Act in 2011?,"It can be invalidated by the claim of obviousness if someone publishes a public disclosure of a submethod, which is different from yours, but makes yours obvious, before you actually file. "
"What are patentable subject materials, and what aren't? ","Yes: Process, machine, manufacture, and composition of matter
No: laws of nature, natural phenomena, or abstract ideas "
What are the 4 main criteria of an idea necessary to get a patent?,"It must be patentable subject material: Process, machine, manufacture, and composition of matter (and it must not be laws of nature, natural phenomena, or abstract ideas)
It must show: Utility, novelty, non-obviousness (and if you are in an “unpredictable field” like bio, you need to provide more evidence) "
Patent blocking: describe what it is ,"You can get a patent on some narrow point of a broader patent (ie if it is a novel sub-idea), and then be blocked from practicing it by the broader patent that someone else holds.
But the broader patent holder is not blocked, because they don’t infringe on all aspects of the more narrow patent.
This is necessarily asymmetric. "
"If you legally sell a patented object to someone, and then they sell it to someone else, does the second person need to obtain patent rights? ",No. The first authorized sale removes all restrictions that the patentee can exercise on the object. 
What is meaningfully different about indirect and direct patent infringement with regards to intent? ,Direct infringement doesn't need intent. Indirect infringement needs intent to be valid. 
"What are the two types of patent infringement, and which must be present to bring litigation? ","Direct infringement (making, using, selling, or importing)
Indirect infringement (encouraging or enabling someone else to do this).
Direct infringement is always necessary to bring litigation. "
How do a group of patent owners determine who can be licensed to use the patent in the US? What about in the rest of the world? ,"In the US any of the individual patent owners can license, but unanimous agreement is necessary to sue someone for infringement.
In other places, it is the opposite (hard to license, easy to sue) "
Patent authorship - how to figure out who is included? ,"Just have to have contributed to at least one claim, then treated equally 
Don’t need to know if something works in order to have conception "
What are the three major branches of patent law? ,"Prosecution (making the patent, filing it, and getting it issued)
Litigation (sueing for infringement)
Licensing (contracting it out, can be totally private) "
What was the main change inherent in the America invents act of 2011 relating to patents?,US switched from first to invent to first to file. 
What are the 4 actions that a patent prohibits others from doing?,"Prohibits making, using, selling, or importing 
It is a negative right "
"When measuring the scaling laws for neural network test loss (log MLE), what are the control parameters to think about? ","Control variables are:
Tokens trained (data size)
Parameters of model (model size)
Compute (tokens times parameters, or petaflop days)
These are somewhat similar to the OpenAI research tasks (Data, training, and tools) and the major resources improving deep learning (data access, hardware, and new architectures) "
How does the Dalle-2 paper use the CLIP process for generating images from captions?,"It generates an image embedding based on a CLIP encoding of the text caption, and then decodes that image embedding. 
This is a tunable thing (allows interpolation between two embeddings) "
What was the goal of the CLIP paper (Jan 2021)?,"Goal: try to replicate task agnostic web scale pretraining in computer vision rather than NLP
Leverage huge access to labels on the internet 
Produce good generalizability "
What is the tension between process-based vs outcome-based types of ML systems in terms of alignment? ,"Process based systems are easier to interpret, diagnose, and align, but may be less powerful than outcome based systems. 
This is the idea of the ""alignment tax"". "
Explain the difference between process-based vs outcome-based types of ML systems ,"Process-based systems optimize the entire process to be correct along the way (and must observe the whole process).
Outcome-based only target the final outcome. "
"What is the factored cognition primer, and how is it an example of a process-based machine learning system? ","It is an attempt to lay out a sequential and interpretable machine learning approach to answer questions and solve problems. 
There is a record of what it said and did. "
What is the term for extracting the reward function from a set of behaviors? ,Inverse reinforcement learning 
What is inverse reinforcement learning? ,Extracting the reward function from a set of behaviors. 
What is goal misgeneralization? ,"Agent pursues a proximal goal that is correlated with the real reward during training, but doesn't generalize well outside of the training dataset. "
"List a few examples of ""more is different"" in nature ","Think of more physical to more abstract, or less biological to more biological. 
Uranium. With a bit of uranium, nothing special happens; with a large amount of uranium packed densely enough, you get a nuclear reaction.
Water. Individual water molecules aren’t wet. Wetness only occurs due to the interaction forces between many water molecules interspersed throughout a fabric (or other material).
DNA. Given only small molecules such as calcium, you can’t meaningfully encode useful information; given larger molecules such as DNA, you can encode a genome.
Specialization. Historically, in small populations, virtually everyone needed to farm or hunt to survive; in contrast, in larger and denser communities, enough food is produced for large fractions of the population to specialize in non-agricultural work. "
How many parameters did the AlexNet convolutional network have? ,60 million
"In an attention layer with size n_emb, what is the total number of parameters roughly? Walk through the rough math. 
Apply this to GPT-3","n_emb*(n_emb*3) projects into query, key, and value space.
Then one output projection is n_emb*n_emb.
Then MLP is n_emb*(n_emb*4) but it happens twice.
Final result in total is 12*n_emb^2 for each layer roughly 
(there's a few more random parameters on the input and output layers).
---
For GPT-3 this ends up being around 10,000^2 * 12 or around 10^9 = 1.8 billion params roughly."
"GPT-3 model size: number of layers, embedding size, number of heads in each layer, and size of each head","96 layers, embedding size of 12288 (or 96*128), 96 heads per layer, and 128 dimensions per head."
GPT-3 model size: total number of training tokens,300 billion tokens
GPT-3 model size: total number of parameters,175 billion
How many parameters are there in the original BERT paper? What about GPT-2?,"In the original BERT paper (may 2019) by Devlin et al, there are 340 million parameters. 
GPT-2 (2018) had 1.5 billion"
"In the original BERT paper (may 2019) by Devlin et al, what is the training goal?","""In order to train a deep bidirectional representation, we simply mask some percentage of the input tokens at random, and then predict those masked tokens.""
They mask around 15% of tokens."
"In the original BERT paper (may 2019) by Devlin et al, what is the new form of the architecture compared to Vaswani et al?","This is a ""bidirectional encoder representations from transformers"" (BERT)
It is the same as the encoder block from Vaswani. it is all to all connected attention. "
"Researchers from what two organizations collaborated on the paper ""Deep reinforcement learning from human preferences"" (2017)?",OpenAI and Deepmind 
"What game/task was targeted and demonstrated in the paper ""Deep reinforcement learning from human preferences"" (2017),","Atari game, and robotic motion resembling human behavior. "
"In the paper ""Deep reinforcement learning from human preferences"" (2017), what method was chosen to try to provide a reward on complex tasks that are hard to specify mathematically?","Train a reinforcement learning model to predict human preference between states (supervised learning), then use that reward predictor to train the actual agent. "
How has the context of foundation models changed in the last few years with things like Dalle as opposed to just GPT-3?,Foundation models have become multimodal (translating between different sources of data) 
When did foundation models become prevalent? What is the first reasonable example? ,BERT near 2019 was the first serious foundation model used across an entire group of tasks.
What improvements in technology have allowed foundation models to emerge? ,"Improvement in: Hardware, architecture (transformers), and training data 
This is analogous to OpenAI main research tasks (data, training, and tools), except tools is replaced by architectures "
"According to the paper ""On the opportunities and Risks of Foundation Models"" by Bommasani et. Al., what are the key characteristics of foundation models? ","Emergence of behavior at scale, learned implicitly from data
Homogenization: cross task applicability means foundation models replace other models across a range of domains. Provides power, but points of failure too "
Explain the difference between precision and recall. ,"Precision: maximizes true positives out of all positives
Recall: maximized true positives out of all actual things "
How often should you re-train your machine learning model? ,"The speed at which your world changes determines how often you should retrain your model.
Your system only works in the world where it was designed to work. "
"What is k-fold cross validation, and when is it useful? ","You choose some integer k, and then leave out 1/k of the data and do that in k ways and train the model based on the data left in each subset, and then aggregate predictions of these models.
This is useful when you don't want to do a direct random training/validation split, or you need to check your sensitivity to outliers."
What are the two stages involved in training ChatGPT as opposed to original GPT-3 architecture?,"Original pretraining phase just gets it to babble text.
Fine tuning stage with reinforcement learning gets it to be helpful as an assistant, rather than completing documents. "
"What differentiates the GPT-3 architecture from the original ""Attention is all you need"" paper? 
Why was Attention is all you need different? What task were they targeting?","GPT-3 is a decoder only transformer, and doesn't have the cross-attention which is present in the Attention is all you need paper. GPT-3 only masks out future tokens in the attention mechanism.
Attention is all you need was targeting machine translation, so they had an encoder block to gather info in the original phrase, then the decoder has that context injected within each layer of the decoder."
"In layer normalization in the transformer architecture, how many parameters are there per layer norm?
Describe the mathematical steps in each forward pass of the layer norm. ","Just two, but for each location in the embedding (the bias and the scaling)
Each token's embedding at this layer (ie a 1D vector of some size) has its mean and variance computed, and then scaled away indepenently. Then you scale and shift and scale by the overall layer norm parameters at each embedding location by the same amount for each token."
"In a transformer, is the MLP applied to the tokens combined, or separately? ",Each token passes through the MLP separately. 
"What can interspersing the fully connected layer (multi-layer perceptron or MLP) with the transformer attention mechanism, then repeating many times, be described as?
What is a quick and pithy way to say it? ",Interspersing computation (MLP) and communication (attention) 
What is the multi-head attention mechanism in a transformer analogous to in convolutional neural networks? ,"It is analogous to computing multiple images within each convolutional layer (the number of images in each layer is analogous to the number of heads).
Doing this allows you to compute multiple kinds of things, to feed in as context for the following layer. "
"In the GPT architecture, if the query, key, and value matrices have the last dimension (call it the column index) be the elements of the embedding, then why is the product query * transpose(keys) masked to be lower triangular, before it is multiplied by the value matrix? ","This is because the query * transpose(keys) matrix is tokens by tokens dimension, and the row index is the original token index. Masking this to be lower triangular means that the multiplication by the values matrix picks out only value vectors that are in the past or present of the token in question, and places them in the final row index associated with that token. "
Why is the training process for GPT codex unique compared to GPT3 and so on?,"There is a ground truth success or failure for code with unit tests and an interpreter, unlike language which is up to debate "
"How should the training process of the GPT-3 language model be understood, if we are able to know why it started to succeed on few shot learning compared to previous models. 
How is this similar to Jacob Andreas' paper on agent models?","Can think of training process as:
Outer loop of stochastic gradient descent is reducing loss to learn to encode multiple tasks
Inner loop of a set of tasks in a context window is helping language model figure out which task is under test 
This is similar to the idea that language models learn to figure out what agent they're modeling, in order to more accurately predict text. "
What were the critical advances or demonstrated capabilities of the GPT-3 paper?,"In context learning success (zero shot or few shot) started to really improve (success rate vs number of examples shown)
Observed growth in gap of zero shot and few shot learning success rates with more scale in model (success gap vs model size) "
What is the key reason OpenAI switched focus to go all in on language models as opposed to other technologies? ,"Language sequence prediction allows for massive unsupervised learning via text prediction
Local prediction is enough, since it still encourages learning the larger context "
"Critical architectural components of ""Attention is all you need"" paper on transformers ","Positional representation
Multihead attention to learn to encode different concepts 
Masking for causality
Non-linearities in the fully connected layer. "
What was the timeline for plant development evolutionarily? ,"Algal scum appeared about 1.2 billion years ago on land, and bigger plants appeared around 450 million years ago."
"Given the two mindsets or approaches to use when designing a model to fit some observed data in an experiment (minimize false negatives or false postives), when is it not appropriate to try to fit a model to the data (and instead you should try to minimize false positives)? ","When you know there is already extremely low probability of a false negative (you know there exists a line to fit roughly linear data. That's a boring question to ask and you don't get any information out of doing it). Instead you should be trying to see if you can produce the right line from scratch before looking at the data (minimizing false positives: this gives you the most information per experiment, where the experiment is now the model generation process.) "
What does the Iswap gate do in a quantum circuit? ,"It is like swap (swaps 10 and 01) but it also adds an imaginary i in front of those two. 
This i is crucial for not producing a trivial gate set."
What does the Cook Levin theorem prove? ,"Any NP problem can be reduced in polynomial time to 3 Sat (the 3 satisfiability boolean problem). 
It proceeds by showing that 
any problem which can be verified in polynomial time on a turing machine can be written as a polynomially large chunk of circuits
this circuit can be expanded in polynomial time to a satifiability problem in conjunctive normal form."
"3 sat (the 3 satisfiability problem): is it or of a bunch of ands, or and of a bunch of ors?","It is the and of a bunch of 3 ors. 
This is because any conjunction like (a or b) can be replaced with (a or z) and (b or bar(z)), and produce the same Sat problem (both are satisfiable at the same time, or not). In reality, if a is an ""or"" of two variables, and ""b"" is an or of 2 variables, then you can convert that ""or"" of 4 variables to an and of two sets of 3 variables. This is the reduction process. 
This is called the conjunctive normal form (conjunctive means ""and"")."
Learning with errors cryptosystem: what is the basic setup? ,"Have a vector of n objects over a ring mod q, and then do some manipulation on it and add some errors, then person with private key can subtract off something with similar errors, but someone without private key would just see some effectively random object mod q. "
Why have many resources that were predicted to run out in the last 50 years not run out? What is the general bias or reasoning mistake that people make when thinking about this problem?,"People need to satisfy goals, not use specific things, though it is often assumed that they need a specific resource. 
People switch between using different methods to satisfy the same goals (like we have switched from whale oil to gasoline and to natural gas). They switch before the thing actually runs out. This is why things don't run out. "
What has the hard coral cover of the northern great barrier reef done over time quantitatively? Give percentages and times. ,"25% historically since 1990
Bleaching event in 2016 reduced it to 15%, but now it is back to 35% in 2022
25, 15, 35"
What does the Australian marine organization suggest are key sources of vulnerability for the great barrier reef in the future? ,"Monoculture hard corals (the specific one that bounced back is relatively susceptible to wave damage and bleaching, apparently). 
Cyclones
Heat waves 
Crown of thorns starfish (eats coral) "
"What trends have occured over time with coral bleaching in the great barrier reef (GBR) in the past 30 years?
Compare the yearly derivative (looks bad) to the cumulative total (looks good).","The northern great barrier reef had significant events in 2016-2017, and last few years. More than 60% bleaching. But central and southern had less effects. 
The important thing is that in 2022, the hard coral cover has completely recovered in the northern reef."
What is one significant cause of coral bleaching and a few significant consequences? ,"Elevated and sustained temperatures can cause it.  
Effects are: can cause some mortality but is more likely to produce sub-lethal effects like reduced growth, reproductive output and larval settlement. "
What does ‘percent hard coral cover’ mean in the context of evaluating the health of the great barrier reef? ,"This measure describes the proportion of the seafloor that is covered in live hard coral.
It is measured by manta towing. 
Hard coral cover greater than 50% is rare, because other things live there too."
What are two general reasons why economic growth and ecological protection are compatible? ,"Development brings resources: The Kuznets curve of development and economic impact implies improvement over time (this curve states that as populations acquire more wealth, they have more willingness to care about the environment, and more ability to do something about it)
Natural trends in efficiency: such as densification of cities and people, dematerialization of objects and resource use, and decarbonization of energy sources as we simply seek to become more resource efficient. "
What is the theory of why the history of world Gross Domestic Product (GDP) growth is super-exponential? Why is this important? ,"More resources means faster technology growth which means faster resource production. It's not just that more resources allow faster resource production (which would be exponential). The growth rate at fixed resources is also increasing because of technology, and that's super-exponential. "
"What are goals that are likely to be shared by any generated artificial general intelligence, as a corrolary or side effect of trying to achieve some other goal (convergent goals) ","1.a Acquire more cognition power 
1.b Acquire more resources like energy 
1.c Technology development to have control 
2.a Goal-content integrity (seeking to prevent alteration or meddling with its internal goals, and changing its mind)
2.b Self preservation"
What are paths to artificial general intelligence suggested by Nick Bostrom in Superintelligence? ,"Algorithmic/evolutionary: This is the usual notion of a path to AGI through building computer programs from scratch. We can estimate the historical evolution rate to estimate what the required complexity is, and how close we are. However, this is hard to estimate. This method may sneak up on us
Whole brain emulation: this seems feasible long term, but there are lots of technical hurdles, so it is unlikely to sneak up on us as a workable method.
Enhancement: Brain machine interfaces (BMIs), or genetic selection of humans.
Can think of the first two as: building a modern airplane (1) or trying to reproduce how biological birds fly (2). Then (3) is more weird, like building wings onto humans, or selecting humans who are the lightest and have the biggest arms."
What are some malignant failure mechanisms of artificial general intelligence? ,"Perverse instantiation of goals, such as maximizing paperclip production
Infrastructure grab or infrastructure profusion (gathering resources to make achieving some goal easier)
Mind crime (simulating tortured minds, ie black mirror) "
How long was alpha go zero trained? How many games must have been run in parallel to do this? ,"3 days, 5 million games
Game speed: 0.4s per move, 200 moves per game, or around 1000 games per day. 
So this implies around 1500 games being played in parallel somehow."
"How does the prediction accuracy for human expert moves of the policy network of the alpha go zero (AGZ) algorithm differ from the prediction of networks trained on human expert play, with the same resources? Why is this interesting? ",AGZ has worse prediction accuracy on the human play than the supervised learning. But it wins more often. This suggest it's learning strategies that aren't contained in the human data. 
"What are two mindsets or approaches to use when designing a model to fit some observed data in an experiment?
How can these be characterized in analogy to experimental errors in statistics? ","Design model from first principles, and hope it matches. If so, because you didn't fine tune it, the probability of getting a false positive for the question ""is this the right description?"" (accidentally getting the right parameters) is very low. You minimized the chance of false positives. 
Design a model that best fits the data, and then reverse engineer its behavior from there. This is minimizing false negatives for the question ""is this describable at all?"". You ensure the data is describable. "
"What is syntactic illusion, what are two examples, and why is it interesting in a machine learning context? ","Syntactic illusion is when humans make a mistake and hear something that wasn't in the text.
Two examples are:
A sentence about ""how many animals did Moses take on the ark"", which makes no sense because Moses didn't do that
A sentence with a negative in the middle in a secluded clause, that is gramatically incorrect because it needs a negative in the main part of the sentence, but the brain hears the negative gets ""heard"" outside the secluded clause. 
Syntactic illusion seems to happen in both language models, and in humans (can tell based on looking at attention mechanism). This is interesting because it may say something about the structure of language and thought, rather than something specific about human deficiencies "
In summary the main experimental steps of the T-cell challenge design are: ,"Introduce gene knockouts to ~70 genes in mice T cells.
Take mice with Melanoma, and introduce these altered T-cells for a while
Do single cell RNA sequencing for transcription amount 
Process and cluster gene expression profiles on the single cell level."
"What are the steps for gathering clusters of gene expression programs in the T-Cell population, after gathering and sequencing single cells? ","Remove tails of the distribution of total gene expression (correspond to damaged cells, and multiple cells)
Normalize total expression
Focus on highly variable genes and gene groups using prinicple component analysis (PCA)
Do graph based clustering. "
